cluster,primary_keyword,secondary_keywords,intent,serp_page_type,target_url,existing_or_new,keep_create_merge_hold_noindex,parent_hub,inbound_links_from,outbound_money_path,monetization_route,medical_review_level,schema_candidates,SERP_research_status,Semrush_status,cannibalization_notes
"Hair, skin and laser",צלקות אקנה,NONE IN WAVE 0 SEED,Condition and treatment education,Medical education / treatment decision page,/acne-scars/,new candidate; legacy equivalent check required,create candidate,/hair-skin-laser/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Dermatologist/aesthetics provider discovery,M3,BreadcrumbList; MedicalWebPage; Article; Organization; FAQPage only when visible content and current eligibility rules support it,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Hair, skin and laser",טיפול בלייזר לפנים,NONE IN WAVE 0 SEED,Treatment/procedure education,Medical education / treatment decision page,/facial-laser-treatments/,new candidate; legacy equivalent check required,create candidate,/hair-skin-laser/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Verified clinic/provider discovery,M3,BreadcrumbList; MedicalWebPage; Article; Organization; FAQPage only when visible content and current eligibility rules support it,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Hair, skin and laser",הצערת העור,NONE IN WAVE 0 SEED,Treatment options and alternatives,Authority hub / decision guide,/skin-rejuvenation/,new candidate; legacy equivalent check required,create candidate,/hair-skin-laser/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Provider discovery; product routes only when eligible,M3,BreadcrumbList; MedicalWebPage; Article; Organization; FAQPage only when visible content and current eligibility rules support it,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Private specialist care and second opinions,רופא פרטי,רופא מומחה פרטי; רופא פרטי מחיר; תור לרופא פרטי; ייעוץ רפואי פרטי,Booking and availability; Price + provider discovery; Provider discovery + booking,Provider/clinic listing or discovery page,/private-doctor-appointment/,existing public or link-discovered; exact crawl/index state DATA REQUIRED,keep-improve,/private-care/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Provider discovery; price observation; Request-based appointment; first-booking fee only after contractual/legal validation; Verified provider discovery; appointment request; Verified provider discovery; request-based appointment; Verified specialist discovery; request-based appointment,M3,BreadcrumbList; ItemList; Physician/MedicalClinic/MedicalBusiness only where verified; Organization; WebPage,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","5 seed queries are provisionally consolidated on this URL. Manual review required for price, risk, recovery, provider and broad-treatment intent separation. Preservation-first: no slug/canonical/redirect change before crawl, GSC, backlinks and content-equivalence review. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Private specialist care and second opinions,רופא פרטי תל אביב,NONE IN WAVE 0 SEED,Local provider discovery,Provider/clinic listing or discovery page,/doctors/tel-aviv/,new candidate; legacy equivalent check required,create candidate,/private-care/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Verified local provider discovery,M3,BreadcrumbList; ItemList; Physician/MedicalClinic/MedicalBusiness only where verified; Organization; WebPage,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Private specialist care and second opinions,רופא פרטי ירושלים,NONE IN WAVE 0 SEED,Local provider discovery,Provider/clinic listing or discovery page,/doctors/jerusalem/,new candidate; legacy equivalent check required,create candidate,/private-care/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Verified local provider discovery,M3,BreadcrumbList; ItemList; Physician/MedicalClinic/MedicalBusiness only where verified; Organization; WebPage,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Private specialist care and second opinions,חוות דעת רפואית שנייה,חוות דעת רפואית שנייה מחיר; רופא מומחה לחוות דעת שנייה,Price + provider discovery; Provider discovery; Treatment decision support + provider discovery,Provider/clinic listing or discovery page,/medical-second-opinion/,existing public or link-discovered; exact crawl/index state DATA REQUIRED,keep-improve,/private-care/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Consultation/concierge; transparent price observation; Verified specialist discovery; Verified specialist discovery; paid concierge/coordination,M3,BreadcrumbList; ItemList; Physician/MedicalClinic/MedicalBusiness only where verified; Organization; WebPage,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","3 seed queries are provisionally consolidated on this URL. Manual review required for price, risk, recovery, provider and broad-treatment intent separation. Preservation-first: no slug/canonical/redirect change before crawl, GSC, backlinks and content-equivalence review. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Private specialist care and second opinions,רופא אונליין פרטי,NONE IN WAVE 0 SEED,Remote care discovery,Service decision/coordination page,/private-online-doctor/,new candidate; legacy equivalent check required,create candidate,/private-care/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Licensed provider booking only; no AI diagnosis,M4,BreadcrumbList; MedicalWebPage; Article; Organization; FAQPage only when visible content and current eligibility rules support it,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Private specialist care and second opinions,רופא עד הבית,NONE IN WAVE 0 SEED,Provider discovery + booking,Service decision/coordination page,/doctor-home-visit/,new candidate; legacy equivalent check required,create candidate,/private-care/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Verified provider discovery; request booking,M3,BreadcrumbList; MedicalWebPage; Article; Organization; FAQPage only when visible content and current eligibility rules support it,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Private specialist care and second opinions,החזר ביטוח על רופא פרטי,החזר שב״ן על ייעוץ פרטי,Insurance and reimbursement navigation,Medical education / treatment decision page,/health-insurance-refund/,existing public or link-discovered; exact crawl/index state DATA REQUIRED,keep-improve,/private-care/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Neutral payer navigation; Neutral payer navigation; concierge only with disclosure,M3,BreadcrumbList; MedicalWebPage; Article; Organization; FAQPage only when visible content and current eligibility rules support it,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","2 seed queries are provisionally consolidated on this URL. Preservation-first: no slug/canonical/redirect change before crawl, GSC, backlinks and content-equivalence review. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Imaging, diagnostics, prevention and longevity",MRI פרטי,MRI פרטי מחיר; תור MRI פרטי; CT פרטי; CT פרטי מחיר; MRI ברך פרטי,Booking and availability; Price + booking; Test + booking; Test/diagnosis education + booking,Integrated decision + price guide,/mri-ct-appointment/,existing public or link-discovered; exact crawl/index state DATA REQUIRED,keep-improve,/premium-health-services/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Imaging-center discovery; price observation; Request-based booking; concierge; Verified imaging-center discovery; Verified imaging-center discovery; request booking,M3,BreadcrumbList; MedicalWebPage; Article; ItemList; Offer only when a real verified offer exists,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","6 seed queries are provisionally consolidated on this URL. Manual review required for price, risk, recovery, provider and broad-treatment intent separation. Preservation-first: no slug/canonical/redirect change before crawl, GSC, backlinks and content-equivalence review. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Imaging, diagnostics, prevention and longevity",אולטרסאונד פרטי,NONE IN WAVE 0 SEED,Test education + booking,Test/diagnostic education + service discovery,/private-ultrasound/,new candidate; legacy equivalent check required,create candidate,/premium-health-services/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Verified imaging-center discovery; request booking,M3,BreadcrumbList; MedicalWebPage; MedicalTest where semantically correct; Article; Organization,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Imaging, diagnostics, prevention and longevity",PET CT פרטי,NONE IN WAVE 0 SEED,Test education + booking,Test/diagnostic education + service discovery,/private-pet-ct/,new candidate; legacy equivalent check required,create candidate,/premium-health-services/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Verified center discovery; coordination,M3,BreadcrumbList; MedicalWebPage; MedicalTest where semantically correct; Article; Organization,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Imaging, diagnostics, prevention and longevity",בדיקות סקר מנהלים,בדיקות סקר מנהלים מחיר; רפואה מונעת פרטית,Premium screening research + booking; Prevention education + service discovery; Price + package comparison,Price/cost guide,/premium-health-services/,existing public or link-discovered; exact crawl/index state DATA REQUIRED,keep-improve,/premium-health-services/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Package comparison; concierge; Premium package comparison; concierge after evidence review; Verified clinic/package discovery; membership/concierge after validation,M3,BreadcrumbList; MedicalWebPage; Article; ItemList; Offer only when a real verified offer exists,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","3 seed queries are provisionally consolidated on this URL. Manual review required for price, risk, recovery, provider and broad-treatment intent separation. Preservation-first: no slug/canonical/redirect change before crawl, GSC, backlinks and content-equivalence review. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Imaging, diagnostics, prevention and longevity",בדיקות דם פרטיות,NONE IN WAVE 0 SEED,Test/service discovery,Test/diagnostic education + service discovery,/private-lab-tests/,new candidate; legacy equivalent check required,create candidate,/premium-health-services/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Licensed lab discovery; booking,M3,BreadcrumbList; MedicalWebPage; MedicalTest where semantically correct; Article; Organization,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Imaging, diagnostics, prevention and longevity",בדיקות גנטיות פרטיות,NONE IN WAVE 0 SEED,Test education + service discovery,Test/diagnostic education + service discovery,/private-genetic-testing/,new candidate; legacy equivalent check required,create candidate,/premium-health-services/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Licensed provider/lab discovery only,M4,BreadcrumbList; MedicalWebPage; MedicalTest where semantically correct; Article; Organization,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Imaging, diagnostics, prevention and longevity",בדיקת סקר לגילוי מוקדם,NONE IN WAVE 0 SEED,Screening education,Authority hub / decision guide,/screening-and-early-detection/,new candidate; legacy equivalent check required,create candidate,/premium-health-services/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Neutral service discovery after evidence explanation,M3,BreadcrumbList; MedicalWebPage; Article; Organization; FAQPage only when visible content and current eligibility rules support it,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Imaging, diagnostics, prevention and longevity",רפואת אריכות ימים,longevity,Innovation/education + premium service discovery,Authority hub / decision guide,/longevity-medicine/,new candidate; legacy equivalent check required,create candidate,/premium-health-services/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Verified clinic/package discovery; Verified clinic/package discovery; membership only after validation,M3,BreadcrumbList; MedicalWebPage; Article; Organization; FAQPage only when visible content and current eligibility rules support it,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","2 seed queries are provisionally consolidated on this URL. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Imaging, diagnostics, prevention and longevity",longevity clinic israel,מרפאת אריכות ימים,Provider/clinic discovery,Provider/clinic listing or discovery page,/longevity-clinics/,new candidate; legacy equivalent check required,create candidate,/premium-health-services/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Verified clinic discovery,M3,BreadcrumbList; ItemList; Physician/MedicalClinic/MedicalBusiness only where verified; Organization; WebPage,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","2 seed queries are provisionally consolidated on this URL. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Imaging, diagnostics, prevention and longevity",בדיקת גיל ביולוגי,NONE IN WAVE 0 SEED,Test/innovation education,Test/diagnostic education + service discovery,/biological-age-tests/,new candidate; legacy equivalent check required,create candidate,/premium-health-services/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,No direct recommendation; verified service discovery after evidence review,M4,BreadcrumbList; MedicalWebPage; MedicalTest where semantically correct; Article; Organization,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Imaging, diagnostics, prevention and longevity",בדיקות ביומרקרים,NONE IN WAVE 0 SEED,Test/biomarker education,Test/diagnostic education + service discovery,/biomarkers/,new candidate; legacy equivalent check required,create candidate,/premium-health-services/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Licensed lab/service discovery,M3,BreadcrumbList; MedicalWebPage; MedicalTest where semantically correct; Article; Organization,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
"Imaging, diagnostics, prevention and longevity",בדיקת גוף מלאה,NONE IN WAVE 0 SEED,Premium screening research,Authority hub / decision guide,/full-body-screening/,new candidate; legacy equivalent check required,create candidate,/premium-health-services/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,No launch as a package page until evidence/regulation/supply review,M4,BreadcrumbList; MedicalWebPage; Article; Organization; FAQPage only when visible content and current eligibility rules support it,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Premium dental care,השתלת שיניים,השתלת שיניים מחיר; שתלים דנטליים,"Device/treatment comparison; Price, cost and financing; Treatment/procedure education + provider discovery",Integrated decision + price guide,/dental-implants/,new candidate; legacy equivalent check required,create candidate,/dental/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Consultation; transparent price observation; financing after review; Provider discovery; no product selection advice; Verified dentist/clinic discovery; consultation request,M3,BreadcrumbList; MedicalWebPage; Article; ItemList; Offer only when a real verified offer exists,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","3 seed queries are provisionally consolidated on this URL. Manual review required for price, risk, recovery, provider and broad-treatment intent separation. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Premium dental care,השתלת שיניים ביום אחד,NONE IN WAVE 0 SEED,Treatment/procedure education,Medical education / treatment decision page,/same-day-dental-implants/,new candidate; legacy equivalent check required,create candidate,/dental/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Verified clinic discovery; consultation,M3,BreadcrumbList; MedicalWebPage; Article; Organization; FAQPage only when visible content and current eligibility rules support it,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Premium dental care,יישור שיניים שקוף,יישור שיניים שקוף מחיר,"Price, cost and financing; Treatment/procedure education + provider discovery",Integrated decision + price guide,/clear-aligners/,new candidate; legacy equivalent check required,create candidate,/dental/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Consultation; transparent package comparison; Verified orthodontist/dentist discovery; consultation,M3,BreadcrumbList; MedicalWebPage; Article; ItemList; Offer only when a real verified offer exists,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","2 seed queries are provisionally consolidated on this URL. Manual review required for price, risk, recovery, provider and broad-treatment intent separation. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Premium dental care,אינויזליין,NONE IN WAVE 0 SEED,Brand/treatment research,Medical education / treatment decision page,/clear-aligners/invisalign/,new candidate; legacy equivalent check required,create candidate,/dental/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Verified provider discovery; consultation,M3,BreadcrumbList; MedicalWebPage; Article; Organization; FAQPage only when visible content and current eligibility rules support it,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Premium dental care,רופא שיניים פרטי,רופא שיניים מומלץ,Provider discovery; Provider/review discovery,Provider/clinic listing or discovery page,/dentists/,new candidate; legacy equivalent check required,create candidate,/dental/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Verified dentist/clinic discovery; booking; Verified provider discovery; transparent ranking/review policy,M3,BreadcrumbList; ItemList; Physician/MedicalClinic/MedicalBusiness only where verified; Organization; WebPage,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","2 seed queries are provisionally consolidated on this URL. Manual review required for price, risk, recovery, provider and broad-treatment intent separation. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Premium dental care,טיפול שורש מחיר,NONE IN WAVE 0 SEED,Price + treatment education,Price/cost guide,/root-canal-treatment/,new candidate; legacy equivalent check required,create candidate,/dental/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Verified dentist discovery; price observation,M3,BreadcrumbList; MedicalWebPage; Article; ItemList; Offer only when a real verified offer exists,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Premium dental care,הלבנת שיניים,NONE IN WAVE 0 SEED,Treatment/product education,Medical education / treatment decision page,/teeth-whitening/,new candidate; legacy equivalent check required,create candidate,/dental/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Verified dentist discovery; eligible products separately governed,M3,BreadcrumbList; MedicalWebPage; Article; Organization; FAQPage only when visible content and current eligibility rules support it,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Premium dental care,ציפוי חרסינה לשיניים,NONE IN WAVE 0 SEED,Treatment/procedure education,Medical education / treatment decision page,/dental-veneers/,new candidate; legacy equivalent check required,create candidate,/dental/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Verified dentist discovery; consultation,M3,BreadcrumbList; MedicalWebPage; Article; Organization; FAQPage only when visible content and current eligibility rules support it,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Premium dental care,שיקום הפה,NONE IN WAVE 0 SEED,Treatment hub + specialist discovery,Authority hub / decision guide,/oral-rehabilitation/,new candidate; legacy equivalent check required,create candidate,/dental/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Verified specialist/clinic discovery,M3,BreadcrumbList; MedicalWebPage; Article; Organization; FAQPage only when visible content and current eligibility rules support it,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Premium dental care,כתר זירקוניה,NONE IN WAVE 0 SEED,Treatment/material education,Medical education / treatment decision page,/zirconia-crowns/,new candidate; legacy equivalent check required,create candidate,/dental/,Relevant symptom/condition/test/procedure/ingredient pages; parent hub; glossary entities; verified provider/product profiles,Contextual verified provider/product/service discovery only after the user’s information task; urgent and medication-safety pages have restricted/zero commercial paths,Verified dentist discovery,M3,BreadcrumbList; MedicalWebPage; Article; Organization; FAQPage only when visible content and current eligibility rules support it,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
